JVM,Version,VM,OS,Architecture,Distribution,Packaging,JavaFX,JCK,Free,License,Maintained,Supported,Link
Debian OpenJDK,7,HotSpot,Linux,ARM-32 HF,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jdk
Debian OpenJDK,7,HotSpot,Linux,ARM-32 HF,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jre
Debian OpenJDK,7,HotSpot,Linux,i386,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jdk
Debian OpenJDK,7,HotSpot,Linux,i386,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jre
Debian OpenJDK,7,HotSpot,Linux,x86-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jdk
Debian OpenJDK,7,HotSpot,Linux,x86-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/jessie/openjdk-7-jre
Debian OpenJDK,8,HotSpot,Linux,ARM-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,ARM-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,ARM-32 HF,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,ARM-32 HF,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,ARM-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,ARM-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,i386,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,i386,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,MIPS-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,MIPS-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,MIPS-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,MIPS-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,PPC-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,PPC-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,8,HotSpot,Linux,x86-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jdk
Debian OpenJDK,8,HotSpot,Linux,x86-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/stretch/openjdk-8-jre
Debian OpenJDK,11,HotSpot,Linux,ARM-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,ARM-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,ARM-32 HF,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,ARM-32 HF,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,ARM-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,ARM-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,i386,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,i386,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,MIPS-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,MIPS-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,MIPS-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,MIPS-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,PPC-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,PPC-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,11,HotSpot,Linux,x86-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jdk
Debian OpenJDK,11,HotSpot,Linux,x86-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/buster/openjdk-11-jre
Debian OpenJDK,13,HotSpot,Linux,ARM-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jdk
Debian OpenJDK,13,HotSpot,Linux,ARM-32 EL,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jre
Debian OpenJDK,13,HotSpot,Linux,ARM-32 HF,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jdk
Debian OpenJDK,13,HotSpot,Linux,ARM-32 HF,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jre
Debian OpenJDK,13,HotSpot,Linux,ARM-64,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jdk
Debian OpenJDK,13,HotSpot,Linux,ARM-64,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jre
Debian OpenJDK,13,HotSpot,Linux,i386,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jdk
Debian OpenJDK,13,HotSpot,Linux,i386,JRE,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jre
Debian OpenJDK,13,HotSpot,Linux,MIPS-32 EL,JDK,Debian,No,No,Yes,GPLv2+CPE,n/a,No,https://packages.debian.org/bullseye/openjdk-13-jdk
